Species	Count
scinax trapicheroi	1
saccopteryx bilineata	1
rhynchonycteris naso	1
molossus sinaloae	1
lophostoma evotis	1
artibeus jamaicensis	1
artibeus phaeotis	1
vampyressa thyone	1
rhogeessa aeneus	1
rapala iarbus	1
haddadus binotatus	1
carollia brevicauda	1
sturnira erythromos	1
artibeus glaucus	1
chrotopterus auritus	1
lophostoma brasiliense	1
myotis nigricans	1
myotis simus	1
dolichoderus sp	1
pachycondyla sp	1
azteca sp	1
neoponera sp	1
solenopsis sp	1
pseudomyrmex sp	1
dysschema viuda	1
tetracis cachexiata	1
bungalotis quadratum	1
astraptes samson	1
epargyreus sp	1
nystalea squamosa	1
morpho amathonte	1
archaeoprepona camilla	1
catonephele numilia	1
hylesia continua	1
adeloneivaia jason	1
automeris postalbida	1
copaxa rufinans	1
nyceryx tacita	1
alchornea latifolia	1
chrysochlamys glauca	1
coussapoa nymphaeifolia	1
pachydota saduca	1
sericochroa janzen01	1
cecrita probadhj04	1
morpho polyphemus catalina	1
morpho granadensis	1
antirrhea lindigii	1
memphis proserpina	1
taygetis rufomarginata	1
oxytenis beprea	1
xylophanes loelia	1
flos sp	1
noctilio leporinus	1
epamera mimosae	1
iolaus trimeni	1
pseudbarydia crespula	1
hemiceras nigrescens	1
unzela japix	1
pyrrharctia isabella	1
zolessia felderi	1
euchaetes egle	1
selenia alciphearia	1
eutrapela clemataria	1
tetracis crocallata	1
lytrosis unitaria	1
catocala cara	1
panthea furcilla	1
lithophane hemina	1
acronicta lepusculina	1
pheosia rimosa	1
notodonta torva	1
nymphalis antiopa	1
callosamia angulifera	1
hyalophora cecropia	1
lapara bombycoides	1
ceratomia undulosa	1
archaeoprepona demophoon	1
eooxylides tharis	1
hypercompe icasia	1
gonodonta sp	1
udranomia kikkawai	1
polygonus leo	1
eutelia furcata	1
spragueia lepus	1
euscirrhopterus poeyi	1
ophisma tropicalis	1
diphthera festiva	1
pseudomyrmex spinicola	1
perigonia ilus	1
canus lupus dingo	1
chlamyphorus truncatus	1
macrosiphum euphorbiae	1
phasis thysbe	1
aloeides pallida	2
trachops cirrhosus	2
artibeus lituratus	2
micronycteris microtis	2
desmodus rotundus	2
antrozous dubiaquercus	2
eptesicus furinalis	2
choeroniscus minor	2
anser sp	2
pheidole sp	2
gigantiops destructor	2
camponotus sp	2
melese espinoza01	2
caligo atreus	2
pterourus bryki	2
hernandia stenura	2
hypsiboas albopunctatus	2
lycaenidae	2
jalmenus daemeli	2
spodoptera latifascia	2
titaea tamerlan	2
anthene sp	2
zaedyus pichiy	2
lycaena clarki	2
chrysoritis chrysantas	2
peropteryx kappleri	3
pteronotus davyi	3
mormoops megalophylla	3
carollia sowelli	3
surendra vivarna	3
thraupis palmarum	3
dendropsophus minutus	3
priodontes maximus	3
syssphinx colla	3
lachnocnema bibulus	3
gila robusta	3
hypsiboas faber	4
scinax hayii	4
scinax littoralis	4
hylodes asper	4
pteronotus parnellii	4
glossophaga soricina	4
myotis elegans	4
felis catus	4
scinax fuscovarius	4
dendropsophus sanborni	4
turdus olivater	4
edales pandava	4
miletus biggsii	4
axiocerses thyra	4
eumaeus atala	5
hylodes phyllodes	5
cycloramphus boraceiensis	5
phasmahyla cruzi	5
thraupis gaucocolpa	5
platycichla flavipes	5
dromaius novaehollandiae	5
durbania amakosa	5
flos apidanus	5
neotoma lepida	5
cyprinus carpio	5
sturnira lilium	6
logania marmorata	6
ramphocelus carbo	6
zonotrichia capensis	6
spalgis epeus	6
rothschildia lebeau	6
citheronia lobesis	6
bos taurus	7
thoropa taophora	7
thestor yildizae	7
saltator maximus	7
trichosurus caninus	7
chiroxiphia lanceolata	7
macropus sp	7
lepidochrysops wykehami	7
eacles imperialis	7
feniseca tarquinius	7
acinonyx jubatus	7
anser indicus	7
teuchestes fossor	8
iguana iguana	8
physalaemus cuvieri	8
myrmecophaga tridactyla	8
neotoma albigula	8
maculinea alcon	9
hypsiboas albomarginatus	9
canus lupus familiaris	9
boophis sp	9
columbina passerina	9
alouatta pigra	9
jalmenus evagoras	9
shinisaurus crocodilurus	9
ochotona princeps	9
rhinopithecus brelichi	9
anthene usamba	9
columbina talpacoti	9
gasterosteus aculeatus	9
ovis aries	9
eulemur rubriventer	10
rusa unicolor	10
vombatidae	10
oryctolagus cuniculus	10
nepenthes rafflesiana	10
vulpes vulpes	10
myodes glareolus	10
catostomus sp	10
ursus americanus americanus	10
apis mellifera	15
alouatta palliata	17
homo sapiens	40
